-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
婆        po        ihcv      VXZM      5A46      C6C5      11        女        44153254531
婇        cai       vesy      ZMPF      5A47      8AE9      11        女        53134431234
婈        ling      vfqt      ZMOR      5A48      8AEA      11        女        53112134354
婉        wan       vpqb      ZMRY      5A49      CDF1      11        女        53144535455
婊        biao      vgey      ZMCR      5A4A      E6BB      11        女        53111213534
婋        xiao      vham      ZMIH      5A4B      8AEB      11        女        53121531535
婌        shu       vhic      ZMKX      5A4C      8AEC      11        女        53121123454
婍        qi        vdsk      ZMAJ      5A4D      8AED      11        女        53113412512
婎        hui       vwyg      ZMNI      5A4E      8AEE      11        女        53132411121
婏        fu        vqky      ZMRS      5A4F      8AEF      11        女        53135251354
婐        wo        vjsy      ZMKF      5A50      8AF0      11        女        53125111234
婑        wo        vtvg      ZMMZ      5A51      8AF1      11        女        53131234531
婒        tan       vooy      ZMUU      5A52      8AF2      11        女        53143344334
婓        fei       djdv      KCZM      5A53      8AF3      11        女        21112111531
婔        fei       vdjd      ZMKC      5A54      8AF4      11        女        53121112111
婕        jie       vgvh      ZMXI      5A55      E6BC      11        女        53115112134
婖        tian      vgdn      ZMGU      5A56      8AF5      11        女        53111342444
婗        ni        vvqn      ZMNR      5A57      8AF6      11        女        53132151135
婘        quan      vudb      ZMUY      5A58      8AF7      11        女        53143113455
婙        jing      vqvh      ZMRX      5A59      8AF8      9         女        531355112
婚        hun       vqaj      ZMRK      5A5A      BBE9      11        女        53135152511
婛        jing      vyiy      ZMJK      5A5B      8AF9      11        女        53141251234
婜        qian      ahnv      HXZM      5A5C      8AFA      11        女        12512554531
婝        dian      vpgh      ZMWD      5A5D      8AFB      11        女        53144512134
婞        xing      vfuf      ZMBU      5A5E      8AFC      11        女        53112143112
婟        hu        vldg      ZMEJ      5A5F      8AFD      11        女        53125122511
婠        wan       vpnn      ZMWY      5A60      8AFE      11        女        53144525151
婡        lai       vsww      ZMOO      5A61      8B40      11        女        53113434234
婢        bi        vrtf      ZMNE      5A62      E6BE      11        女        53132511312
婣        yin       vthh      ZMND      5A63      8B41      12        女        531321155212
婤        zhou      vmfk      ZMBJ      5A64      8B42      11        女        53135121251
婥        nao       vhjh      ZMKE      5A65      8B43      11        女        53121251112
婦        fu        vvph      ZMWL      5A66      8B44      11        女        53151145252
婧        jing      vgeg      ZMCQ      5A67      E6BA      11        女        53111212511
婨        lun       vwga      ZMAL      5A68      8B45      11        女        53134125122
婩        nve       vmdf      ZMAE      5A69      8B46      11        女        53125213112
婪        lan       ssvf      FFZM      5A6A      C0B7      11        女        12341234531
婫        kun       vjxx      ZMRR      5A6B      8B47      11        女        53125111535
婬        yin       vetf      ZMMB      5A6C      8B48      11        女        53134433121
婭        ya        vghg      ZMBZ      5A6D      8B49      11        女        53112155121
婮        ju        vndg      ZMEJ      5A6E      8B4A      11        女        53151312251
婯        li        gmyv      ALLZ      5A6F      8B4B      11        女        12541254531
婰        dian      vmaw      ZMEO      5A70      8B4C      11        女        53125122134
婱        xian      xyxv      YZZZ      5A71      8B4D      11        女        51541554531
婲        hua       vawx      ZMNR      5A72      8B4E      10        女        5131223235
婳        hua       vglb      ZMKZ      5A73      8B4F      11        女        53112512152
婴        ying      mmvf      LOLZ      5A74      D3A4      11        女        25342534531
婵        chan      vujf      ZMKE      5A75      E6BF      11        女        53143251112
婶        shen      vpjh      ZMWK      5A76      C9F4      11        女        53144525112
婷        ting      vyps      ZMWA      5A77      E6C3      12        女        531412514512
婸        yang      vjgr      ZMRO      5A78      8B50      12        女        531251113533
婹        yao       vsvg      ZMFZ      5A79      8B51      12        女        531125221531
婺        wu        cbtv      XSMZ      5A7A      E6C4      12        女        545233134531
婻        nan       vdmf      ZMEL      5A7B      8B52      12        女        531122543112
婼        ruo       vadk      ZMGJ      5A7C      8B53      11        女        53112213251
婽        jia       vnhc      ZMXX      5A7D      8B54      12        女        531512115154
婾        yu        vwgb      ZMQZ      5A7E      8B55      12        女        531341251155
婿        xu        vnhe      ZMIQ      5A7F      D0F6      12        女        531521342511
媀        yu        vjmy      ZMLZ      5A80      8B56      12        女        531251125214
媁        wei       vnhh      ZMJM      5A81      8B57      12        女        531521251152
媂        ti        vuph      ZMWL      5A82      8B58      12        女        531414345252
